pair,sample,nobs,adf_stat,adf_p,adf_crit_5pct,adf_rejects_unit_root_5pct,engle_granger_stat,engle_granger_p,engle_granger_crit_5pct,cointegrated_5pct,ar1_phi,half_life_days,acf_1,acf_5,residual_sd
gold_real10,train,1606,-0.31675025183519556,0.923098264427384,-2.8633424632707527,False,-0.3189423820225246,0.9749923826772269,-3.3399395645422696,False,0.9996512647106087,1987.2560425481247,0.997105180210845,0.986143791943395,0.20959566085402262
gold_real10,full,2512,-0.8422728726549943,0.8063883756544818,-2.862692648021296,False,-0.8431695266476049,0.9287895442073644,-3.338564415469584,False,0.9995817393348799,1656.866806142185,0.9988110047721177,0.9934678591375361,0.3403876775192851
gold_real10,full_rolling_beta,2387,-3.4336636488285097,0.009863431871879885,-2.862755162210213,True,-1.2844521147385468,0.8343781064514652,-3.338692011566493,False,0.9887938222802216,61.50679901051286,0.9887747410333649,0.9462938700837226,0.062190516771513646
wti_usd,train,1606,-2.2153846061865266,0.20070919002735815,-2.863352636968251,False,-2.215334225492227,0.41647062793587986,-3.3399395645422696,False,0.997376028168962,263.8128103375248,0.9970974562281788,0.9821278340031407,0.34436862144957187
wti_usd,full,2512,-2.7520442426348275,0.06545712637217696,-2.8626958747571405,False,-2.7523980496810396,0.18130116153124404,-3.338564415469584,False,0.9968397875633516,218.98887194492346,0.9968397805112175,0.9817561335386678,0.3083199249851278
wti_usd,full_rolling_beta,2387,-3.977010631551613,0.0015357916579633272,-2.8627556733140143,True,-2.6343500017743837,0.22407288097610817,-3.338692011566493,False,0.9895069184760931,65.7103597795327,0.9892413194469902,0.9444228161865572,0.1934674393829707
breakeven_wti,train,1606,-1.9652922068256993,0.30199545720158694,-2.8633424632707527,False,-1.965923931561413,0.5462393747231407,-3.3399395645422696,False,0.9953270404339967,147.98467269702817,0.9952290509626589,0.9747938845117339,0.322076940507997
breakeven_wti,full,2512,-2.0386263559794564,0.26989769211354825,-2.862691729403106,False,-2.038994214277419,0.5082580039857517,-3.338564415469584,False,0.9971303644735057,241.19863234806013,0.9970967320236241,0.9847064577505508,0.4356314657969678
breakeven_wti,full_rolling_beta,2387,-4.026884128482819,0.0012760991069220295,-2.8627521045897844,True,-1.8118551333149946,0.6239459549141362,-3.338692011566493,False,0.98582828595095,48.563212084629036,0.9844651119689436,0.9236440578246335,0.20256652679438386
spx_vix,train,1606,-0.9300274780709975,0.7779231996439461,-2.863343588038396,False,-0.9317980686705138,0.9150377772516408,-3.3399395645422696,False,0.9988596575910142,607.4946326493869,0.996873534995481,0.9835204434417509,0.18314688770834808
spx_vix,full,2512,-1.691627560559451,0.43543129035614314,-2.862691729403106,False,-1.6925189830869936,0.6803131449495117,-3.338564415469584,False,0.9974765594252356,274.33665818903046,0.9955558898161664,0.9778884277571486,0.37797404055717837
spx_vix,full_rolling_beta,2387,-4.004635304315176,0.001386432985997795,-2.8627654666342472,True,-1.786289316776448,0.6363576702421364,-3.338692011566493,False,0.9897667558109065,67.38767449146692,0.9897513787157749,0.948712105591153,0.08810200222557785
curve_hyoas,train,1606,-1.7395145887188503,0.4108769026686693,-2.863343588038396,False,-1.7419056161150361,0.6574874333962712,-3.3399395645422696,False,0.9952818169174853,146.56292091955135,0.990269381306571,0.9494507473244029,32.58503836247066
curve_hyoas,full,2512,-2.0645002391769136,0.259026649373833,-2.8626921885291017,False,-2.064842396742409,0.49475101295332236,-3.338564415469584,False,0.9969065353559383,223.72148817875723,0.9969025212175197,0.9833512903769427,51.518413120627535
curve_hyoas,full_rolling_beta,2387,-2.769598288601525,0.06274937282808088,-2.8627659864448662,False,-2.104895942046346,0.47380813697639484,-3.338692011566493,False,0.9916633982735557,82.79799443238979,0.9916059636132768,0.9595490192497178,36.46697372578655
