mode,spec,split,nobs,r_squared,sign_accuracy,correlation
contemporaneous,real,train,1605,0.4536139177517834,0.7433021806853582,0.6735086619723486
contemporaneous,real,validation,502,0.3831417192288109,0.7270916334661355,0.6208832070120561
contemporaneous,real,test,404,0.20704888508161046,0.6732673267326733,0.4562968728504957
predictive,real,train,1604,0.006438863787386895,0.5236907730673317,0.08024253103801454
predictive,real,validation,502,-0.011455170430873185,0.5258964143426295,-0.03466109260462847
predictive,real,test,404,-0.009356703854371817,0.49504950495049505,-0.02175791737483794
